t,delta_theta
36.640000,0.014439
36.680000,0.011613
36.720000,0.008831
36.760000,0.006094
36.800000,0.003405
36.840000,0.000766
36.880000,0.001821
36.920000,0.004356
36.960000,0.006836
37.000000,0.009260
37.040000,0.011627
37.080000,0.013937
37.120000,0.016187
37.160000,0.018378
37.200000,0.020508
37.240000,0.022577
37.280000,0.024584
37.320000,0.026529
37.360000,0.028412
37.400000,0.030232
37.440000,0.031989
37.480000,0.033682
37.520000,0.035311
37.560000,0.036877
37.600000,0.038378
37.640000,0.039815
37.680000,0.041187
37.720000,0.042494
37.760000,0.043735
37.800000,0.044911
37.840000,0.046022
37.880000,0.047065
37.920000,0.048043
37.960000,0.048953
38.000000,0.049796
38.040000,0.050571
38.080000,0.051278
38.120000,0.051915
38.160000,0.052484
38.200000,0.052983
38.240000,0.053412
38.280000,0.053770
38.320000,0.054057
38.360000,0.054272
38.400000,0.054416
38.440000,0.054488
38.480000,0.054488
38.520000,0.054416
38.560000,0.054272
38.600000,0.054056
38.640000,0.053768
38.680000,0.053409
38.720000,0.052980
38.760000,0.052481
38.800000,0.051914
38.840000,0.051279
38.880000,0.050578
38.920000,0.049813
38.960000,0.048985
39.000000,0.048096
39.040000,0.047150
39.080000,0.046147
39.120000,0.045091
39.160000,0.043985
39.200000,0.042831
39.240000,0.041634
39.280000,0.040395
39.320000,0.039118
39.360000,0.037808
39.400000,0.036466
39.440000,0.035098
39.480000,0.033707
39.520000,0.032295
39.560000,0.030868
39.600000,0.029428
39.640000,0.027978
39.680000,0.026523
39.720000,0.025065
39.760000,0.023608
39.800000,0.022154
39.840000,0.020706
39.880000,0.019267
39.920000,0.017839
39.960000,0.016424
40.000000,0.015025
40.040000,0.013643
40.080000,0.012279
40.120000,0.010935
40.160000,0.009612
40.200000,0.008311
40.240000,0.007032
40.280000,0.005777
40.320000,0.004545
40.360000,0.003336
40.400000,0.002152
40.440000,0.000990
40.480000,0.000148
40.520000,0.001264
40.560000,0.002358
40.600000,0.003431
40.640000,0.004484
40.680000,0.005517
40.720000,0.006532
40.760000,0.007530
40.800000,0.008511
40.840000,0.009478
40.880000,0.010431
40.920000,0.011373
40.960000,0.012303
41.000000,0.013224
41.040000,0.014138
41.080000,0.015045
41.120000,0.015948
41.160000,0.016847
41.200000,0.017745
41.240000,0.018642
41.280000,0.019542
41.320000,0.020444
41.360000,0.021351
41.400000,0.022264
41.440000,0.023186
41.480000,0.024117
41.520000,0.025059
41.560000,0.026013
41.600000,0.026982
41.640000,0.027967
41.680000,0.028970
41.720000,0.029992
41.760000,0.031034
41.800000,0.032099
41.840000,0.033188
41.880000,0.034303
41.920000,0.035444
41.960000,0.036615
42.000000,0.037816
42.040000,0.039049
42.080000,0.040316
42.120000,0.041619
42.160000,0.042958
42.200000,0.044337
42.240000,0.045756
42.280000,0.047216
42.320000,0.048721
42.360000,0.050272
42.400000,0.051870
42.440000,0.053517
42.480000,0.055215
42.520000,0.056966
42.560000,0.058772
42.600000,0.060635
42.640000,0.062556
42.680000,0.064538
42.720000,0.066582
42.760000,0.068692
42.800000,0.070868
42.840000,0.073113
42.880000,0.075429
42.920000,0.077819
42.960000,0.080285
43.000000,0.082829
43.040000,0.085454
43.080000,0.088162
43.120000,0.090956
43.160000,0.093840
43.200000,0.096814
43.240000,0.099883
43.280000,0.103049
43.320000,0.106316
43.360000,0.109687
43.400000,0.113164
43.440000,0.116752
43.480000,0.120454
43.520000,0.124273
43.560000,0.128213
43.600000,0.132278
43.640000,0.136472
43.680000,0.140798
43.720000,0.145261
43.760000,0.149866
43.800000,0.154615
43.840000,0.159513
43.880000,0.164565
43.920000,0.169775
43.960000,0.175146
44.000000,0.180684
44.040000,0.186392
44.080000,0.192273
44.120000,0.198332
44.160000,0.204572
44.200000,0.210996
44.240000,0.217606
44.280000,0.224405
44.320000,0.231394
44.360000,0.238574
44.400000,0.245944
44.440000,0.253505
44.480000,0.261252
44.520000,0.269183
44.560000,0.277294
44.600000,0.285576
44.640000,0.294023
44.680000,0.302622
44.720000,0.311363
44.760000,0.320230
44.800000,0.329205
44.840000,0.338268
44.880000,0.347396
44.920000,0.356562
44.960000,0.365738
45.000000,0.374890
45.040000,0.383984
45.080000,0.392980
45.120000,0.401838
45.160000,0.410512
45.200000,0.418957
45.240000,0.427123
45.280000,0.434961
45.320000,0.442421
45.360000,0.449450
45.400000,0.456000
45.440000,0.462021
45.480000,0.467467
45.520000,0.472294
45.560000,0.476464
45.600000,0.479942
