theta,omega
3.0963882368,-0.5710051558
2.6408149321,-0.7755473515
3.0757464264,-0.7758880270
2.8349633508,-1.0079010568
3.0266652928,-0.8339872914
2.2811725953,-1.1677963442
3.1117785347,-0.5534556596
2.4347103760,-1.1205384276
3.0331176931,-0.8435378408
2.2814557925,-1.1661735384
3.1189570107,-0.5534899988
3.1222181003,-0.8454902441
2.5664151894,-1.1280010073
2.2073029207,-1.0905708938
3.1020250512,-0.5605076385
3.0432481281,-0.8058771201
2.1613103947,-1.2850727296
2.9706042165,-0.6643478851
2.5168547274,-1.1494397616
3.1198579736,-0.8452525298
2.4933895017,-1.1574490279
3.0769160457,-0.8524275351
2.1656290531,-1.2699769292
2.9881708328,-0.6560737875
3.0933428466,-0.9054969424
2.2525703580,-1.1927449755
3.0783991523,-0.5809868509
3.0726201819,-0.9023016990
2.3508561907,-1.1084564358
3.1039697155,-0.7481755631
2.1066994219,-1.1603362637
2.9996534309,-0.6407202273
2.6173246983,-0.7936606287
3.0474505995,-0.9106649741
2.5466617648,-0.9559174012
3.0348239545,-0.8325824421
2.2482246113,-1.1973505510
3.0726990914,-0.5861588736
3.0257782078,-0.9189991756
2.7232366222,-0.8201027825
3.0310727073,-0.8429720022
2.3073453385,-1.1430551511
3.1239418995,-0.8455633769
2.5657036360,-1.1242841713
3.0330898640,-0.8455929521
2.2900443262,-1.1591681143
3.1285242497,-0.5459477166
2.8328223430,-0.9897451416
3.0667936696,-0.7875322520
2.3742012350,-1.2132228629
3.0404383210,-0.8190712191
2.1783102451,-1.2521944346
3.0062950431,-0.6395593319
2.4473751832,-1.1077883569
3.0503841582,-0.8501807979
2.2446657514,-1.2005010633
3.0685588464,-0.5895687702
3.0487994845,-0.4637654113
2.7875976123,-0.8130533351
3.0498863953,-0.8502569559
2.2415941041,-1.1962093635
3.0772427600,-0.5839003019
3.0111976488,-0.9253994161
2.8393989618,-0.7317729445
2.8427902045,-0.7325571261
2.8412548507,-0.7304187746
2.8268709416,-0.7445150979
2.9542152823,-0.6437149483
2.5033023423,-1.1571644947
3.0759739595,-0.8518556159
2.1630723455,-1.2710865404
2.9863539173,-0.6564513056
3.0393774161,-0.9232496076
2.6491165937,-0.8802918996
3.0623468665,-0.7897805420
2.3043627466,-1.2430907357
3.0954038089,-0.5694709763
2.7561725808,-0.8385343312
3.1173444348,-0.7361019789
2.6516239292,-0.7668603006
2.6710888351,-1.0590778197
3.0641439592,-0.7907065487
2.3045161905,-1.2440473530
3.0941655177,-0.5721213534
2.9516666831,-0.9443930780
3.1370922513,-0.5036360507
3.0423250588,-0.8493126608
2.2877749010,-1.1609264775
3.1260819213,-0.5477946788
2.6460836616,-0.9254978128
2.2012580401,-1.0961173102
3.0949998634,-0.5661930442
2.9266943797,-0.5580068497
2.6745280730,-0.9059772689
2.1162621089,-1.1516896457
3.0176809983,-0.6303803188
2.4630945877,-1.1325140694
3.0477259668,-0.8497912209
2.2461266756,-1.1916548037
3.0829977096,-0.5787105508
2.4515423641,-1.1328722125
3.0391177823,-0.8452406551
2.2804224944,-1.1656774331
3.1190854986,-0.5522030584
3.0445244780,-0.8099964228
2.1553099502,-1.2796731821
2.9775842183,-0.6618227063
2.6613325204,-1.0795825915
2.5160305410,-0.8673590189
2.9789926023,-0.5169855975
3.0815862725,-0.8508545833
2.1623707580,-1.2860683395
2.9705597144,-0.6649708378
2.4987740396,-1.1582450650
3.0693703105,-0.8513493524
2.1709529422,-1.2592318077
2.9980160913,-0.6458265763
3.0340932067,-0.8316052631
2.2519280328,-1.1895033962
3.0870136888,-0.5777860570
3.1084859140,-0.7486077240
2.4462196383,-1.1085286341
3.0487763460,-0.8498087815
2.2485882841,-1.1967742982
3.0733410816,-0.5854565700
3.0721435895,-0.9029566138
2.3601393175,-1.1016824144
3.0755141661,-0.7748979552
2.8801813891,-0.9879171463
3.0766358220,-0.7708467232
3.0643693293,-0.9165409099
2.4662072825,-1.0174160830
3.0643313213,-0.9025371262
2.3951159916,-1.0782114322
3.0356693653,-0.8351808375
2.2524783100,-1.1877979071
3.0887739999,-0.5753410815
3.0985350387,-0.7548729890
2.4374734787,-1.1261239633
